TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/10,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.7,
1997/10,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/10,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/10,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.5,
1997/10,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.6,
1997/10,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.6,
1997/10,Belgium,Annual rate of change,All-items HICP,1.2,
1997/10,Bulgaria,Annual rate of change,All-items HICP,:,
1997/10,Czechia,Annual rate of change,All-items HICP,9.7,
1997/10,Denmark,Annual rate of change,All-items HICP,1.7,
1997/10,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.5,
1997/10,Estonia,Annual rate of change,All-items HICP,10.6,
1997/10,Ireland,Annual rate of change,All-items HICP,0.9,
1997/10,Greece,Annual rate of change,All-items HICP,4.6,
1997/10,Spain,Annual rate of change,All-items HICP,1.8,
1997/10,France,Annual rate of change,All-items HICP,1.1,
